ACE aceh
AMH amharic
ARQ arabic.algerian
AYL arabic.libyan
ARY arabic.moroccan
ARB arabic.standard
AEB arabic.tunisian
BEN bengali
BUR burmese
CHE chechen
YUH chinese.cantonese
CHN chinese.mandarin.mainland
CHT chinese.mandarin.taiwan
CFR chinese.min
WUU chinese.wu
USE english.american
AUE english.australian
GBE english.british
INE english.indian
ENG english.varied
FAR farsi
FRA french
GEO georgian
DEU german
GRN guarani
HIN hindustani.hindi
URD hindustani.urdu
IND indonesian
ITA italian
JPN japanese
KHM khmer
KOR korean
LAO lao
PAN punjabi
RUS russian
SPA spanish
SPC spanish.caribbean
SPN spanish.noncaribbean
TGL tagalog
TAM tamil
THA thai
TIR tigrigna
UKR ukranian
UZB uzbek
VIE vietnamese
