ACE aceh
AMH amharic
ARQ arabic.algerian
AYL arabic.libyan
ARY arabic.moroccan
ARB arabic.standard
AEB arabic.tunisian
BEN bengali
BUR burmese
CHE chechen
YUH chinese.cantonese
CHN.YUH chinese.cantonese
CHN chinese.mandarin.mainland
CHT chinese.mandarin.taiwan
CFR chinese.min
WUU chinese.wu
USE english.american
AUE english.australian
GBE english.british
INE english.indian
ENG english
FAR farsi
FRA french
GEO georgian
DEU german
GRN guarani
HIN hindustani.hindi
URD hindustani.urdu
IND indonesian
ITA italian
JPN japanese
KHM khmer
KOR korean
LAO lao
PAN punjabi
RUS russian
SPA spanish
SPC spanish.caribbean
SPN spanish.noncaribbean
TGL tagalog
TAM tamil
THA thai
TIR tigrigna
UKR ukranian
UZB uzbek
VIE vietnamese
hindi hindustani.hindi
english.am.south english.american
english.am.gen english.american
spanish.highland spanish
spanish.carib spanish.caribbean
mandarin.north chinese.mandarin.mainland
mandarin.taiwan chinese.mandarin.taiwan
arabic.egyptian arabic.egyptian
english english
mandarin chinese.mandarin.mainland
arabic arabic.standard
mandarin chinese.mandarin.mainland
arabic arabic.standard
hindi hindustani.hindi
mandarin.std chinese.mandarin.mainland
mandarin.non-tw-accnt chinese.mandarin.mainland
mandarin.tw-accnt chinese.mandarin.taiwan
mandarin.non-tw-accnt,non-tw-accnt chinese.mandarin.mainland
mandarin.non-man chinese
mandarin.std,std chinese.mandarin.mainland
mandarin.for-accnt chinese
HIN.INE english.indian
mandarin.non-tw-accnt,std chinese.mandarin.mainland
CHN.WUU chinese.wu
CHN.JPN.WUU chinese.wu
HIN.INE.URD hindustani.urdu
HIN.INE.PAN punjabi
CFR.CHN chinese.min
ARZ arabic.egyptian
english_american english.american
english_indian english.indian
panjabi punjabi
arabic_iraqi arabic.iraqi
arabic_maghrebi arabic.maghrebi
arabic_msa arabic.msa
arabic_levantine arabic.levantine
shanghai-wu chinese.wu
southern-min chinese.min
yuh chinese.cantonese
cantonese chinese.cantonese
wuu chinese.wu
urd urdu
tha thai
rus russian
cfr french.canadian
ben bengali
arb arabic
