0	NUL
1	EN
2	TO
3	TRE
4	FIRE
5	FEM
6	SEKS
7	SYV
8	OTTE
9	NI
10	TI
11	ELLEVE
12	TOLV
13	TRETTEN
14	FJORTEN
15	FEMTEN
16	SEKSTEN
17	SYTTEN
18	ATTEN
19	NITTEN
20	TYVE
21	EN OG TYVE
22	TO OG TYVE
23	TRE OG TYVE
24	FIRE OG TYVE
25	FEM OG TYVE
26	SEKS OG TYVE
27	SYV OG TYVE
28	OTTE OG TYVE
29	NI OG TYVE
30	TREDIVE
31	EN OG TREDIVE
32	TO OG TREDIVE
33	TRE OG TREDIVE
34	FIRE OG TREDIVE
35	FEM OG TREDIVE
36	SEKS OG TREDIVE
37	SYV OG TREDIVE
38	OTTE OG TREDIVE
39	NI OG TREDIVE
40	FYRRE
41	EN OG FYRRE
42	TO OG FYRRE
43	TRE OG FYRRE
44	FIRE OG FYRRE
45	FEM OG FYRRE
46	SEKS OG FYRRE
47	SYV OG FYRRE
48	OTTE OG FYRRE
49	NI OG FYRRE
50	HALVTREDS
51	EN OG HALVTREDS
52	TO OG HALVTREDS
53	TRE OG HALVTREDS
54	FIRE OG HALVTREDS
55	FEM OG HALVTREDS
56	SEKS OG HALVTREDS
57	SYV OG HALVTREDS
58	OTTE OG HALVTREDS
59	NI OG HALVTREDS
60	TRES
61	EN OG TRES
62	TO OG TRES
63	TRE OG TRES
64	FIRE OG TRES
65	FEM OG TRES
66	SEKS OG TRES
67	SYV OG TRES
68	OTTE OG TRES
69	NI OG TRES
70	HALVFJERDS
71	EN OG HALVFJERDS
72	TO OG HALVFJERDS
73	TRE OG HALVFJERDS
74	FIRE OG HALVFJERDS
75	FEM OG HALVFJERDS
76	SEKS OG HALVFJERDS
77	SYV OG HALVFJERDS
78	OTTE OG HALVFJERDS
79	NI OG HALVFJERDS
80	FIRS
81	EN OG FIRS
82	TO OG FIRS
83	TRE OG FIRS
84	FIRE OG FIRS
85	FEM OG FIRS
86	SEKS OG FIRS
